ROL;NOMBRE;DIRECCI”N;GIRO;TIO PAPENTE
40711;EVENTOS CULTURALES Y DEPOR. Y COMERCIALIZAD. PASCO CLUB LTDA;CAMINO PUCON- CABURGUA KM 10 SECTOR METRE—E;RESTAURANT NOCTURNO;ALCOHOLES
40714;KUCHENLADEN LTDA.;FRESIA 248 A;RESTAURANT DIURNO;ALCOHOLES
40715;KUCHENLADEN LTDA.;FRESIA 248 A;RESTAURANT NOCTURNO;ALCOHOLES
40716;GUTIERREZ PAREJA VALERIA† ANDREA;CAMINO PUCON HUIFE KM 30 HUIFE;RESTAURANT DIURNO;ALCOHOLES
40717;GUTIERREZ PAREJA VALERIA† ANDREA;CAMINO PUCON HUIFE KM 30 HUIFE;RESTAURANT NOCTURNO;ALCOHOLES
40720;FABIO ONDEI;CAMINO PUCON- CABURGUA KM 19 CARHUELLO;HOTEL;ALCOHOLES
40721;FABIO ONDEI;CAMINO PUCON- CABURGUA KM 19 CARHUELLO;RESTAURANT DIURNO;ALCOHOLES
40729;EDWIN JESUS SAN JUAN REYES PRODUCTOS GASTRONOMICOS EIRL;AVDA. BERNARDO OHIGGINS 619 A;RESTAURANT DIURNO MEF;ALCOHOLES
40730;EDWIN JESUS SAN JUAN REYES PRODUCTOS GASTRONOMICOS EIRL;AVDA. BERNARDO OHIGGINS 619 A;RESTAURANT NOCTURNO (MEF);ALCOHOLES
40731;HOTEL RANGI PUCON LIMITADA;PALGUIN 212;HOTEL;ALCOHOLES
40732;VIRA VIRA HOTEL COLLECTION SPA;CAMINO A CABURGUA (INTERIOR) QUETROLEUFU PARC 19;RESTAURANT DIURNO;ALCOHOLES
40733;VIRA VIRA HOTEL COLLECTION SPA;CAMINO A CABURGUA (INTERIOR) QUETROLEUFU PARC 19;RESTAURANT NOCTURNO;ALCOHOLES
40734;VIRA VIRA HOTEL COLLECTION SPA;CAMINO A CABURGUA (INTERIOR) SEC. QUETROLEUFU PAR;HOTEL;ALCOHOLES
40736;INVERSIONES BLACK FOREST LTDA;AVDA. BERNARDO OHIGGINS 524;RESTAURANT DE TURISMO;ALCOHOLES
40737;COMERCIAL METAKA LIMITADA;COLO COLO 450;RESTAURANT DIURNO;ALCOHOLES
40738;COMERCIAL METAKA LIMITADA;COLO COLO 450;RESTAURANT NOCTURNO;ALCOHOLES
40739;SOCIEDAD COMERCIL BRAATZ Y FERNANDEZ LIMITADA;FRESIA 124;RESTAURANT DIURNO;ALCOHOLES
40740;SOCIEDAD COMERCIL BRAATZ Y FERNANDEZ LIMITADA;FRESIA 124;RESTAURANT NOCTURNO;ALCOHOLES
40743;ESPINOZA CASTRO ALEJANDRO CHRISTIAN;GERONIMO DE ALDERETE† 447;RESTAURANT DIURNO MEF;ALCOHOLES
40744;ESPINOZA CASTRO ALEJANDRO CHRISTIAN;GERONIMO DE ALDERETE† 447;RESTAURANT NOCTURNO MEF;ALCOHOLES
40747;PATAGONIA ALIMENTOS SPA;MIGUEL ANSORENA† 191 LOCAL 3;RESTAURANT DIURNO;ALCOHOLES
40748;PATAGONIA ALIMENTOS SPA;MIGUEL ANSORENA† 191 LOCAL 3;RESTAURANT NOCTURNO;ALCOHOLES
40749;PAULMANN GAJARDO MARIA PAZ;AVDA. BERNARDO OHIGGINS 535;RESTAURANT DIURNO (MEF);ALCOHOLES
40750;PAULMANN GAJARDO MARIA PAZ;AVDA. BERNARDO OHIGGINS 535;RESTAURANT NOCTURNO (MEF);ALCOHOLES
40751;BARRIL EPUIN ANA ISABEL;PLAYA GRANDE DE PUCON† SECTOR CASONA;RESTAURANT DIURNO;ALCOHOLES
40752;BARRIL EPUIN ANA ISABEL;PLAYA GRANDE DE PUCON† SECTOR CASONA;RESTAURANT NOCTURNO;ALCOHOLES
40755;SOCIEDAD COMERCIAL RESTAURANTES DEL SUR LIMITADA;AVDA. BERNARDO OHIGGINS 630;RESTAURANT DIURNO;ALCOHOLES
40756;SOCIEDAD COMERCIAL RESTAURANTES DEL SUR LIMITADA;AVDA. BERNARDO OHIGGINS 630;RESTAURANT NOCTURNO;ALCOHOLES
40757;INMOBILIARIA MORENO FLORES Y MORENO LIMITADA;AVDA. BERNARDO OHIGGINS 751;RESTAURANT DIURNO;ALCOHOLES
40758;INMOBILIARIA MORENO FLORES Y MORENO LIMITADA;AVDA. BERNARDO OHIGGINS 751;RESTAURANT NOCTURNO;ALCOHOLES
40762;MUÒOZ LINARES GABY DEL CARMEN;GERONIMO DE ALDERETE† 402;RESTAURANT DIURNO(DADA EN ARRIENDO A INVERSIONES MAURICIO AURELIO SEGUEL ZAPATA RUT 76.461.083-0);ALCOHOLES
40763;MUÒOZ LINARES GABY DEL CARMEN;GERONIMO DE ALDERETE† 402;RESTAURANT NOCTURNO (DADA EN ARRIENDO A INVERSIONES MAURICIO AURELIO SEGUEL ZAPATA RUT 76.461.083-0);ALCOHOLES
40764;VALENZUELA JARAMILLO JUANA;AVDA. HUIFE 77;RESTAURANT DIURNO;ALCOHOLES
40765;VALENZUELA JARAMILLO JUANA;AVDA. HUIFE 77;RESTAURANT NOCTURNO;ALCOHOLES
40766;SOCIEDAD DE INVERSIONES HOTELERA Y TURISMO COCURANTU LIMITAD;COLO COLO 103;HOTEL (ALCOHOL);ALCOHOLES
40767;SANDOVAL MATAMALA MARIA ELENA;CAMINO INTERNACIONAL 2140 PASAJE SAN SEBA;RESTAURANT DIURNO;ALCOHOLES
40768;SANDOVAL MATAMALA MARIA ELENA;CAMINO INTERNACIONAL 2140 PASAJE SAN SEBA;RESTAURANT NOCTURNO;ALCOHOLES
40769;COMERCIAL METAKA LIMITADA;COLO COLO 450;RESTAURANT DE TURISMO;ALCOHOLES
40772;ANGELICA DENISSE AYALEF AYALEF;CAMINO PUCON- CABURGUA KM 14;RESTAURANT DIURNO (MEF);ALCOHOLES
40773;ANGELICA DENISSE AYALEF AYALEF;CAMINO PUCON- CABURGUA KM 14;RESTAURANT NOCTURNO (MEF);ALCOHOLES
40774;NATACHA BELEN ESCOBAR VEGA;MIGUEL ANSORENA† 243-A;RESTAURANT DIURNO;ALCOHOLES
40775;NATACHA BELEN ESCOBAR VEGA;MIGUEL ANSORENA† 243-A;RESTAURANT NOCTURNO;ALCOHOLES
40776;TANIA NICOLE HINSTZ GUERRERO;GENERAL URRUTIA† 520 - B;RESTAURANT ( DIURNO) MEF. LEY 19.749;ALCOHOLES
40777;TANIA NICOLE HINSTZ GUERRERO;GENERAL URRUTIA† 520 - B;RESTAURANT (NOCTURNO) MEF. LEY 19.749;ALCOHOLES
40780;RIGOBERTO ANDRES QUILODRAN ORTEGA;URUGUAY† 540;RESTAURANT DIURNO (MEF.) LEY 19.749;ALCOHOLES
40781;RIGOBERTO ANDRES QUILODRAN ORTEGA;URUGUAY† 540;RESTAURANT NOCTURNO (MEF.) LEY 19.749;ALCOHOLES
40783;OYARCE SCHMIDT OSCAR;MIGUEL ANSORENA† 248;RESTAURANT DIURNO;ALCOHOLES
40784;OYARCE SCHMIDT OSCAR;MIGUEL ANSORENA† 248;RESTAURANT NOCTURNO;ALCOHOLES
40785;MARIA ELIZABETH RAMOS ARENAS;PALGUIN 123;RESTAURANT DIURNO ( MEF.) LEY 19.749;ALCOHOLES
40786;MARIA ELIZABETH RAMOS ARENAS;PALGUIN 123;RESTAURANT NOCTURNO† (MEF.) LEY 19.749;ALCOHOLES
40787;TRONCOSO GARRIDO MARIA ANGELICA;CAMINO PUCON- CABURGUA KM. 10 S/N. CABURGA;RESTAURANT DIURNO (MEF.) LEY 19.749;ALCOHOLES
40788;TRONCOSO GARRIDO MARIA ANGELICA;CAMINO PUCON- CABURGUA KM.10 S/N;RESTAURANT NOCTURNO ( MEF.) LEY 19.749;ALCOHOLES
40791;ACU—A CIFUENTES JOSE AGUSTIN;CABURGUA KM.2.5;RESTAURANT DIURNO MEF.;ALCOHOLES
40792;ACU—A CIFUENTES JOSE AGUSTIN;CAMINO A PLAYA BLANCA CABURGUA KM.2.5;RESTAURANT NOCTURNO ( MEF.);ALCOHOLES
40797;MARIA TERESA FAUNDEZ RAILLARD RESTOBAR, ARTES Y TURISMO EIRL;MIGUEL ANSORENA† 549;RESTAURANT DIURNO ( MEF.) LEY 19.749;ALCOHOLES
40798;MARIA TERESA FAUNDEZ RAILLARD RESTOBAR, ARTES Y TURISMO EIRL;MIGUEL ANSORENA† 549;RESTAURANT NOCTURNO MEF. LEY 19.749;ALCOHOLES
40801;LAS BANDURRIAS S.P.A.;CAMINO INTERNACIONAL KM.3.5;RESTAURANT DIURNO;ALCOHOLES
40802;LAS BANDURRIAS S.P.A.;CAMINO INTERNACIONAL KM.3.5;RESTAURANT NOCTURNO;ALCOHOLES
40803;RAICES SPA;FRESIA 315;RESTAURANT DIURNO† - CAFETERIA;ALCOHOLES
40804;RAICES SPA;FRESIA 315;RESTAURANT NOCTURNO - CAFETERIA;ALCOHOLES
40806;RAMIREZ† TOLEDO† JAIME ALEJANDRO;LOS CEREZOS 110;SUPERMERCADO Y ALCOHOLES CIGARRILLOS Y AMASADERIA;ALCOHOLES
40808;VIVALLO MILLAVIL JERTRUDIS DEL CARMEN;CAMINO INTERNACIONAL 1709;RESTAURANT DIURNO (MEF);ALCOHOLES
40809;TURISMO SANTA MARTINA LIMITADA;COLO COLO 224;HOTEL;ALCOHOLES
40814;IVONNE DE LOS ANGELES HIDALGO E.I.R.L.;AV. B. OHIGGINS 323;RESTAURANT DIURNO;ALCOHOLES
40815;IVONNE DE LOS ANGELES HIDALGO E.I.R.L.;AV. B. OHIGGINS 323;RESTAURANT NOCTURNO;ALCOHOLES
40816;LAS BANDURRIAS S.P.A.;CAMINO INTERNACIONAL KM 3.5;HOTEL;ALCOHOLES
40818;SOC TURISTICA GASTRONOMICA E INMOB VILLARRICA SPEAK LTDA.;AVDA. BERNARDO OHIGGINS 597;RESTAURANT DE TURISMO;ALCOHOLES
40819;ACHIVURY LARA HELMUTH MOISES;PALGUIN 586;RESTAURANT DIURNO - VENTA DECONFITES Y† HELADOS;ALCOHOLES
40820;ACHIVURY LARA HELMUTH MOISES;PALGUIN 586;RESTAURANT NOCTURNO;ALCOHOLES
40823;INOSTROZA LEIVA† SILVIA† MABEL;MIGUEL ANSORENA† 271;RESTAURANT NOCTURNO;ALCOHOLES
40824;RESTAURANT ANDREA YANETTE SILVA PINO E.I.R.L;AVDA. BERNARDO OHIGGINS 772;RESTAURANT DIURNO (MEF);ALCOHOLES
40825;RESTAURANT ANDREA YANETTE SILVA PINO E.I.R.L;AVDA. BERNARDO OHIGGINS 772;RESTAURANT NOCTURNO (MEF);ALCOHOLES
40826;OVALLE Y PRAT LIMITADA;CAMINO VILLARRICA PUCON SAN JUAN LOTE 1-C LO;HOTEL;ALCOHOLES
40827;OVALLE Y PRAT LIMITADA;CAMINO VILLARRICA PUCON SAN JUAN LOTE 1-C SE;RESTAURANTE DIURNO;ALCOHOLES
40828;OVALLE Y PRAT LIMITADA;CAMINO VILLARRICA PUCON SAN JUAN LOTE 1C SEC;RESTAURANTE NOCTURNO;ALCOHOLES
40829;CORREA VARGAS JUAN FRANCISCO;CAMINO INTERNACIONAL 1470;RESTAURANT DIURNO (MEF);ALCOHOLES
40830;CORREA VARGAS JUAN FRANCISCO;CAMINO INTERNACIONAL 1470;RESTAURANT NOCTURNO (MEF);ALCOHOLES
44672;VIVALLO MILLAVIL JERTRUDIS DEL CARMEN;CAMINO INTERNACIONAL 1709;RESTAURANT NOCTURNO MEF;ALCOHOLES
44674;BERLIN SOCIEDAD GASTRONOMICA SPA;MIGUEL ANSORENA† 160;RESTAURANT DIURNO;ALCOHOLES
44675;BERLIN SOCIEDAD GASTRONOMICA SPA;MIGUEL ANSORENA† 160;RESTAURANT NOCTURNO;ALCOHOLES
44676;INMOBILIARIA RIO GRANDE S.A.;LINCOYAN† 48;HOTEL;ALCOHOLES
44816;INMOB. E INVERCIONES CORNEJO Y ALVAREZ LTDA.;PEDRO DE VALDIVIA 375;RESTAURANT DIURNO;ALCOHOLES
44817;INMOB. E INVERCIONES CORNEJO Y ALVAREZ LTDA.;PEDRO DE VALDIVIA 375;RESTAURANT NOCTURNO;ALCOHOLES
44821;YENIFER ALEJANDRA SAAVEDRA URRUTIA;SECTOR CARILEUFU SN KM 18;RESTAURANT DIURNO (MEF);ALCOHOLES
44822;YENIFER ALEJANDRA SAAVEDRA URRUTIA;SECTOR CARILEUFU SN KM 18;RESTAURANT NOCTURNO MEF;ALCOHOLES
44823;ANTONIETA ELIZABET VERGARA CEA;PLAYA NEGRA CABURGUA SN;RESTAURANT DIURNO MEF;ALCOHOLES
44824;ANTONIETA ELIZABET VERGARA CEA;PLAYA NEGRA CABURGUA SN;RESTAURANT NOCTURNO (MEF);ALCOHOLES
44825;ANTONIETA ELIZABET VERGARA CEA;PLAYA NEGRA CABURGUA SN;SUPERMERCADO MEF;ALCOHOLES
21776;RIQUELME† POVEDA GONZALO ALEJENDRO;CAMINO INTERNACIONAL 1375;RESTAURANT DIURNO(MEF);ALCOHOLES† LEY 19749
21777;RIQUELME† POVEDA GONZALO ALEJENDRO;CAMINO INTERNACIONAL 1375;RESTAURANT NOCTURNO(MEF);ALCOHOLES† LEY 19749
40485;TURRA GUTIERREZ† HERNAN;CAMINO INTERNACIONAL KM. 3.5;RESTAURANT DIURNO(MEF);ALCOHOLES† LEY 19749
40515;DIONILA IDETH† ESPARZA LAGO;CAMINO EX BALSA QUELHUE 030;RESTAURANT DIURNO(MEF);ALCOHOLES† LEY 19749
40569;WILDO OCTAVIO GONZALEZ HENRIQUEZ;CAMINO AL VOLCAN† KM 8;RESTAURANT DIURNO (MEF);ALCOHOLES† LEY 19749
40570;WILDO OCTAVIO GONZALEZ HENRIQUEZ;CAMINO AL VOLCAN† KM 8;RESTAURANT NOCTURNO (MEF);ALCOHOLES† LEY 19749
