ROL;NOMBRE;DIRECCI”N;GIRO;TIO PAPENTE
20251;TURISMO POLITUR LIMITADA;AVDA. BERNARDO OHIGGINS 635;TIENDA OF. TURISMO;COMERCIALES
20254;BARRA CARVALLO SONIA;FRESIA 554;SUPERMERCADO;COMERCIALES
20255;BARRERA REYES JOSE;CAUPOLICAN† 655;TALLER OBRERO;COMERCIALES
20256;CABA—AS DE TURISMO QUI—OLAFQUEN LTDA.;PASAJE PICHUN S/N;CABAÒAS;COMERCIALES
20262;VIVIANNE FAURE Y COMPAÒIA LIMITADA;MIGUEL ANSORENA† 495;RADIO EMISORA;COMERCIALES
20265;HUAIQUIFIL MARIVIL EDITA DEL L.;ARAUCO 1060;PROVISIONES;COMERCIALES
20268;HOTELERA KERNAYEL LIMITADA;CAMINO INTERNACIONAL 1395;CABAÒAS;COMERCIALES
20289;VIEJO† ALMACEN LIMITADA;AVDA. BERNARDO OHIGGINS 292;GRANDES TIENDAS;COMERCIALES
20291;SARZOZA SOSPERREY ELIECER;CAMINO INTERNACIONAL N;ELABORACION DE MADERA;COMERCIALES
20292;CASA LIBANESA LIMITADA;MIGUEL ANSORENA† 343;BAZARES, CORDONERIAS Y PAQUETERIAS;COMERCIALES
20295;PAREDES† CARRASCO MARIA;ODETTE VIDAL 1765;PROVISIONES (M.E.F);COMERCIALES
20315;GRANADINO TORRES CARMEN LORENA;AVDA. BERNARDO OHIGGINS 592;CENTRO DE BELLEZA;COMERCIALES
20322;BRATZ GOLDAMMER LUTZ HARRO;CABURGUA PLAYA NEGRA;CAFETERIA, CABA—AS, CAMPING;COMERCIALES
20323;ELGUETA TRAUB MIRIAM;GERONIMO DE ALDERETE† 435;HOTEL;COMERCIALES
20325;FERRETERIA JOSE FLORES Y COMPA—IA LIMITADA;GENERAL URRUTIA† 483;FERRETERIA;COMERCIALES
20327;COMERCIAL MANON GATICA GERLACH E.I.R.L.;MIGUEL ANSORENA† 350;TIENDAS Y ART. DE REGALOS;COMERCIALES
20333;ORTEGA LEAL EDMUNDO;SECTOR PALGUIN 360;BAZAR CONFITERIA;COMERCIALES
20339;ZERENE ZERENE ELVIRA;FRESIA 354;HOTEL;COMERCIALES
20344;SOC. DE FABRICACION DE CONFECCIONES JOHNNYS ATELIER SPA;FRESIA 224 LOCAL 05;CONFECCION Y VENTA VESTUARIO;COMERCIALES
20352;SEGUEL MU—OZ MARIA INEZ;MIGUEL ANSORENA† 785;VENTA DE ROPA EUROPEA;COMERCIALES
20353;PLUG AND PLAY NET S.A.;GENERAL URRUTIA† 615 LOCAL 102† B;SERVICIO TELEVISION POR CABLE;COMERCIALES
20357;KUDEN SOCIEDAD ANONIMA;MIGUEL ANSORENA† 121;EXPLOTACION CONCESION CASINO DE JUEGOS;COMERCIALES
20358;CARRERA ALVAREZ SIMON G.;AV. B. OHIGGINS 311 LOCAL† 4;TIENDA CALZADO Y GAFAS;COMERCIALES
20368;SPACIOHOGAR† PUCON S.A.;ARAUCO 636;MUEBLERIA VENTA DE MADERA;COMERCIALES
20372;REYES NAVARRETE BERTALINA;EL CLARO S/N;PROVISIONES;COMERCIALES
20374;FLORES SAN MARTIN JUAN;DEL PILLAN 505;SUPERMERCADOS;COMERCIALES
20377;BRINTRUP BRINTRUP MARCIA DEL CARMEN;CLEMENTE HOLZAPFEL† 430;CHOCOLATERIA, HELADERIA Y MERMELADAS;COMERCIALES
20379;RIFFO GUTIERREZ MARIA HAYDEE;PASAJE LOS NOTROS† 65;PROVISIONES Y VENTA DE GAS;COMERCIALES
20382;CORTEZ MONTES MARIA;MIGUEL ANSORENA† 495† L 14;PELUQUERIA;COMERCIALES
20383;ORTIZ VASQUEZ SAMUEL CECILIO;MIGUEL ANSORENA† 370;CENTRO DE LLAMADOS - SERV. TELEFONICOS SER. INTERNET;COMERCIALES
20387;LAFQUEN GONZALEZ GLADYS;MIGUEL ANSORENA† 285;SANDWICHERIA AL PASO JUGOS Y CAFE (MEF);COMERCIALES
20389;BANCO DE CREDITO E INVERSIONES;FRESIA 174;SUCURSAL BANCARIA;COMERCIALES
20390;ARAVENA Y RIVAS LTDA.;FRESIA 267;ZAPATERIA;COMERCIALES
20392;CENTRO VACACIONAL KERPEN LTDA.;SAN LUIS S/N;COMPLEJO TURISTICO;COMERCIALES
20399;ALMUNA AREVALO MARISOL DEL CARMEN;PALGUIN 610 B;PROVISIONES - FRUTERIA VERDULERIA;COMERCIALES
20405;TURISMO MISI LIMITADA;AVDA. BERNARDO OHIGGINS 498;OFICINA DE TURISMO RAFTING;COMERCIALES
20406;PISCICOLA HUILILCO LTDA.;CAMINO PUCON- CABURGUA S/N;REPRODUCCION Y VENTA DE PECES;COMERCIALES
20414;BANCO SANTANDER;AVDA. BERNARDO OHIGGINS 318;BANCOS;COMERCIALES
20415;JUAN POLICARPIO URRUTIA URIBE E.I.R.L.;SECTOR PALGUIN 575 B;VENTA DE MAQUINAS REPUETOS MOTOSIERRAS;COMERCIALES
20418;GOMEZ SEPULVEDA JORGE FRANCISCO;FRESIA 354;FARMACIAS Y PERFUMERIAS;COMERCIALES
20419;CHRISTIAN ANDRES AMBIADO RIQUELME;AVDA. BERNARDO OHIGGINS 796;CABAÒAS;COMERCIALES
20421;PETERSEN Y COMPA—IA LIMITADA;CAMINO AL VOLCAN† 06;CABA—AS;COMERCIALES
20423;VENEGAS PADILLA PEDRO HERNAN;CAMINO INTERNACIONAL 1510;APART HOTEL;COMERCIALES
20426;CHERYL PAOLA CASTILLO GUTIERREZ;CAMINO INTERNACIONAL KILOMETRO 3;PROVISIONES;COMERCIALES
20427;OLAVE RIFFO RAMON ALFONSO;FRESIA 765;PROVISIONES ROTISERIA;COMERCIALES
20429;ELTIT ZERENE HID;BRASIL† 325;JUEGOS ELECTRONICAS;COMERCIALES
20430;TURISMO Y HOTELERA DEL VOLCAN LIMITADA;FRESIA 430;APART HOTEL;COMERCIALES
20431;INVERSIONES BAUM S A;FRESIA 243;TIENDA DE PRODUCTOS DE CALZADO Y VESTUARIO;COMERCIALES
20432;REYES SANDOVAL MARIA EMELINA;PARAGUAY 220;PROVISIONES;COMERCIALES
20435;INM. E INVERSIONES ANDO S.A.;URUGUAY† PALGUIN;TERMINAL DE BUSES;COMERCIALES
20436;CONSTRUCTORA Y COMERCIALIZADORA ARAUCARIA LIMITADA;AVDA. BERNARDO OHIGGINS 669;CONSTRUCTORA;COMERCIALES
20438;CATALAN BERAUD NALDY;LAS VIOLETAS 80;PELUQUERIA;COMERCIALES
20440;FILIPEK SCHNEIDER KAREL;GERONIMO DE ALDERETE† 247 OF. 21;CONSTRUCTORA;COMERCIALES
20442;MAS VIDA S. A.;BRASIL† 327† B;ISAPRES - EXCLUYE CAJAS DE PREVISION: 91001);COMERCIALES
20445;OPTICA FEDERICO HENZI Y CIA LIMITADA;FRESIA 515 LOCAL 8;OPTICA;COMERCIALES
20446;PINO RODRIGUEZ SARA INES;PASAJE LOS CHILCOS† 150;ARRIENDO DE CABA—AS;COMERCIALES
20449;VALLE PHILIPS ALEX MAURICIO;AVDA. BERNARDO OHIGGINS 770;ARRIENDO DE CABA—AS;COMERCIALES
20450;GALLARDO NAVARRO JUAN CARLOS;MIGUEL ANSORENA† 346;CLINICA† VETERINARIA;COMERCIALES
20451;GRANJA MARINA TORNAGALEONES S. A.;CAMINO VILLARRICA PUCON KM.17;EXPLOTACION PRODUCTOS MARINOS;COMERCIALES
